date	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District Of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-03-17	36-0-NA	3-0-NA	20-0-NA	22-0-NA	NA-NA-NA	483-11-NA	160-1-NA	41-0-NA	16-0-NA	NA-NA-NA	186-6-NA	146-1-NA	5-0-NA	10-0-NA	7-0-NA	160-1-NA	30-2-NA	23-0-NA	15-1-NA	22-1-NA	171-4-NA	32-0-NA	57-0-NA	218-0-NA	65-0-NA	60-0-NA	21-0-NA	8-0-NA	8-0-NA	21-0-NA	55-1-NA	17-0-NA	267-3-NA	23-0-NA	1700-7-NA	40-0-NA	3-0-NA	0-0-NA	67-0-NA	17-0-NA	47-0-NA	96-0-NA	5-0-NA	21-0-NA	33-1-NA	11-0-NA	73-0-NA	64-1-NA	NA-NA-NA	51-0-NA	10-0-NA	67-1-NA	904-48-NA	0-0-NA	72-0-NA	10-0-NA
2020-03-18	46-0-NA	6-0-NA	28-0-NA	33-0-NA	NA-NA-NA	611-13-NA	183-2-NA	68-0-NA	25-0-NA	NA-NA-NA	314-7-NA	197-1-NA	8-0-NA	14-0-NA	9-0-NA	288-1-NA	39-2-NA	29-0-NA	16-1-NA	26-1-NA	240-6-NA	43-0-NA	85-0-NA	256-0-NA	80-0-NA	77-0-NA	34-0-NA	13-0-NA	10-0-NA	24-0-NA	55-1-NA	26-0-NA	427-5-NA	28-0-NA	2382-12-NA	63-0-NA	6-0-NA	0-0-NA	88-0-NA	29-0-NA	75-3-NA	133-0-NA	5-0-NA	33-0-NA	60-1-NA	11-1-NA	98-0-NA	83-2-NA	NA-NA-NA	63-0-NA	19-0-NA	77-1-NA	1012-52-NA	1-0-NA	106-0-NA	15-0-NA
2020-03-19	68-0-NA	6-0-NA	44-0-NA	46-0-NA	NA-NA-NA	924-18-NA	216-2-NA	96-1-NA	30-0-NA	NA-NA-NA	390-8-NA	287-10-NA	12-0-NA	16-0-NA	11-0-NA	422-4-NA	56-2-NA	38-0-NA	34-1-NA	35-1-NA	347-8-NA	53-0-NA	107-1-NA	328-0-NA	336-3-NA	89-0-NA	50-0-NA	24-1-NA	12-0-NA	27-0-NA	95-1-NA	39-0-NA	742-9-NA	35-0-NA	4152-12-NA	97-0-NA	15-0-NA	0-0-NA	119-0-NA	44-1-NA	88-3-NA	185-1-NA	5-0-NA	33-0-NA	60-1-NA	11-1-NA	154-0-NA	143-3-NA	NA-NA-NA	78-0-NA	22-0-NA	94-2-NA	1187-66-NA	2-0-NA	155-0-NA	18-0-NA
2020-03-20	81-0-NA	12-0-NA	65-0-NA	96-0-NA	NA-NA-NA	1063-20-NA	277-3-NA	194-3-NA	38-0-NA	NA-NA-NA	520-10-NA	420-13-NA	14-0-NA	26-0-NA	23-0-NA	585-5-NA	79-2-NA	45-0-NA	44-1-NA	47-1-NA	479-12-NA	57-0-NA	149-1-NA	413-1-NA	549-3-NA	115-0-NA	80-1-NA	47-1-NA	16-0-NA	32-0-NA	109-1-NA	44-0-NA	890-11-NA	43-0-NA	7102-35-NA	137-0-NA	20-0-NA	0-0-NA	169-1-NA	49-1-NA	114-3-NA	268-1-NA	14-0-NA	54-0-NA	81-1-NA	14-1-NA	228-0-NA	194-5-NA	NA-NA-NA	112-0-NA	29-2-NA	114-2-NA	1376-74-NA	7-0-NA	206-3-NA	19-0-NA
2020-03-21	124-0-NA	14-0-NA	104-1-NA	118-0-NA	NA-NA-NA	1279-24-NA	363-4-NA	194-4-NA	45-0-NA	NA-NA-NA	658-12-NA	507-14-NA	15-0-NA	37-0-NA	31-0-NA	753-6-NA	126-4-NA	68-0-NA	55-2-NA	54-2-NA	585-16-NA	73-0-NA	190-2-NA	525-1-NA	787-5-NA	138-1-NA	140-1-NA	73-3-NA	20-0-NA	38-0-NA	124-2-NA	55-0-NA	1327-16-NA	57-0-NA	10356-44-NA	184-0-NA	28-0-NA	0-0-NA	247-3-NA	53-1-NA	114-3-NA	371-2-NA	21-0-NA	66-0-NA	152-1-NA	14-1-NA	371-0-NA	304-5-NA	NA-NA-NA	136-0-NA	29-2-NA	152-2-NA	1524-83-NA	11-0-NA	281-4-NA	23-0-NA
2020-03-22	138-0-NA	22-0-NA	152-2-NA	165-0-NA	NA-NA-NA	1536-27-NA	475-5-NA	223-5-NA	56-0-NA	NA-NA-NA	830-13-NA	600-23-NA	27-1-NA	48-0-NA	42-0-NA	1049-9-NA	201-6-NA	90-0-NA	64-2-NA	99-3-NA	837-20-NA	89-0-NA	244-3-NA	646-5-NA	1035-8-NA	169-1-NA	207-1-NA	90-3-NA	31-0-NA	48-0-NA	190-2-NA	65-0-NA	1914-20-NA	57-0-NA	15168-114-NA	255-0-NA	28-0-NA	0-0-NA	351-3-NA	67-2-NA	161-4-NA	479-2-NA	23-0-NA	83-0-NA	195-3-NA	21-1-NA	505-0-NA	334-5-NA	NA-NA-NA	181-1-NA	52-2-NA	219-3-NA	1793-94-NA	12-0-NA	385-4-NA	24-0-NA
2020-03-23	167-0-NA	22-0-NA	265-2-NA	174-0-NA	NA-NA-NA	1733-27-NA	591-6-NA	415-10-NA	68-0-NA	NA-NA-NA	1171-14-NA	772-25-NA	29-1-NA	56-0-NA	47-0-NA	1273-12-NA	259-7-NA	105-0-NA	82-2-NA	104-3-NA	1172-34-NA	107-0-NA	288-3-NA	777-9-NA	1328-15-NA	235-1-NA	249-1-NA	183-3-NA	34-0-NA	50-0-NA	245-4-NA	78-0-NA	2844-27-NA	65-0-NA	20875-114-NA	297-0-NA	30-0-NA	0-0-NA	442-6-NA	81-2-NA	191-5-NA	644-6-NA	31-2-NA	106-0-NA	299-5-NA	28-1-NA	615-2-NA	352-8-NA	NA-NA-NA	257-1-NA	75-5-NA	254-6-NA	1996-95-NA	16-0-NA	416-5-NA	26-0-NA
2020-03-24	215-0-NA	36-0-NA	357-5-NA	218-0-NA	NA-NA-NA	2102-40-NA	720-7-NA	618-12-NA	91-0-NA	NA-NA-NA	1412-18-NA	1026-32-NA	32-1-NA	77-1-NA	50-0-NA	1535-16-NA	365-12-NA	124-0-NA	98-2-NA	124-4-NA	1388-46-NA	125-0-NA	349-3-NA	1159-11-NA	1791-24-NA	262-1-NA	320-1-NA	183-3-NA	46-0-NA	52-0-NA	278-4-NA	101-1-NA	3675-44-NA	83-0-NA	25665-210-NA	398-0-NA	34-0-NA	0-0-NA	564-8-NA	106-3-NA	209-8-NA	851-7-NA	39-2-NA	106-0-NA	298-5-NA	30-1-NA	667-2-NA	410-9-NA	NA-NA-NA	299-1-NA	95-7-NA	290-7-NA	2221-110-NA	20-0-NA	457-5-NA	29-0-NA
2020-03-25	283-0-NA	42-1-NA	450-6-NA	280-2-NA	NA-NA-NA	2355-53-NA	912-11-NA	875-19-NA	115-0-NA	NA-NA-NA	1682-22-NA	1247-40-NA	37-1-NA	90-1-NA	73-0-NA	1865-19-NA	477-14-NA	145-1-NA	126-3-NA	157-4-NA	1795-65-NA	149-0-NA	423-4-NA	1838-15-NA	2294-43-NA	287-1-NA	377-2-NA	356-8-NA	53-0-NA	61-0-NA	321-6-NA	108-1-NA	4402-62-NA	100-1-NA	30811-285-NA	504-1-NA	39-0-NA	0-0-NA	704-10-NA	164-5-NA	209-8-NA	1127-11-NA	51-2-NA	124-0-NA	424-7-NA	41-1-NA	784-3-NA	974-12-NA	NA-NA-NA	346-1-NA	123-8-NA	391-9-NA	2469-123-NA	39-0-NA	585-7-NA	44-0-NA
2020-03-26	506-1-NA	59-1-NA	577-8-NA	335-3-NA	NA-NA-NA	3006-65-NA	1086-19-NA	1012-21-NA	130-1-NA	NA-NA-NA	2355-28-NA	1525-48-NA	45-1-NA	95-0-NA	123-0-NA	2538-26-NA	645-17-NA	179-1-NA	168-3-NA	198-4-NA	2305-83-NA	155-0-NA	580-4-NA	2417-25-NA	2856-60-NA	346-2-NA	485-6-NA	502-8-NA	71-0-NA	73-0-NA	420-10-NA	137-1-NA	6876-81-NA	112-1-NA	37258-385-NA	636-2-NA	52-0-NA	0-0-NA	867-15-NA	248-7-NA	327-11-NA	1687-16-NA	64-2-NA	165-0-NA	456-9-NA	46-1-NA	957-3-NA	1396-18-NA	NA-NA-NA	402-1-NA	158-9-NA	460-13-NA	2580-132-NA	51-0-NA	707-8-NA	53-0-NA
2020-03-27	587-3-NA	69-1-NA	736-13-NA	381-3-NA	NA-NA-NA	3879-78-NA	1430-24-NA	1291-27-NA	163-2-NA	NA-NA-NA	2765-34-NA	2001-64-NA	51-1-NA	106-0-NA	189-3-NA	3060-34-NA	981-24-NA	235-3-NA	202-4-NA	248-6-NA	2746-119-NA	168-1-NA	774-5-NA	3240-35-NA	3657-92-NA	398-4-NA	579-8-NA	669-8-NA	108-0-NA	85-0-NA	535-10-NA	158-1-NA	8825-108-NA	136-1-NA	44635-519-NA	763-3-NA	65-0-NA	0-0-NA	1137-19-NA	322-8-NA	414-12-NA	2218-22-NA	79-3-NA	165-0-NA	456-9-NA	58-1-NA	1203-6-NA	1731-23-NA	NA-NA-NA	480-2-NA	184-10-NA	604-14-NA	3207-147-NA	76-0-NA	842-13-NA	70-0-NA
