date	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-03-20	78-0	9-0	45-0	62-0	952-18	277-4	159-2	30-0	40-0	417-9	287-10	16-0	11-0	422-4	60-2	44-0	34-1	37-2	392-10	52-0	107-1	328-0	334-3	89-0	50-1	31-1	11-0	29-0	95-1	44-0	742-9	35-0	5365-34	123-0	18-0	119-0	44-1	88-3	206-1	5-0	44-0	81-1	11-1	154-0	260-5	0-0	80-0	22-0	99-2	1376-74	2-0	159-0	18-0
2020-03-22	131-0	15-0	118-1	122-0	1364-24	390-4	194-4	45-0	77-1	659-13	507-14	37-0	36-0	753-6	128-4	68-0	57-2	87-3	585-16	70-0	193-2	525-1	788-5	138-1	140-1	74-3	21-0	38-0	161-2	55-0	1327-16	43-0	11710-60	253-0	28-0	248-3	53-1	114-5	396-2	21-1	66-0	171-3	14-1	371-1	581-5	0-0	136-0	29-2	156-2	1793-94	8-0	282-4	23-0
2020-03-22	138-0	21-0	152-2	165-0	1642-30	476-6	223-5	47-0	102-2	830-13	600-23	48-0	42-0	1049-9	201-6	90-0	64-2	99-3	837-20	89-0	244-3	646-5	1037-9	169-1	207-1	100-3	31-0	51-0	190-2	65-0	1914-20	57-0	15793-117	302-0	28-0	355-3	67-2	161-4	509-3	23-1	83-0	196-3	21-1	505-2	627-6	0-0	181-1	52-2	221-6	1996-95	12-0	381-4	24-0
