COUNTY	CASES	DEATHS	RECOVERED
Colusa-California	0	0	0
Contra Costa-California	147	1	0
Del Norte-California	0	0	0
El Dorado-California	9	0	0
Fresno-California	27	0	0
Glenn-California	0	0	0
Humboldt-California	12	0	0
Imperial-California	17	0	0
Inyo-California	3	0	0
Kern-California	33	1	0
Kings-California	0	0	0
Lake-California	0	0	0
Lassen-California	0	0	0
Los Angeles-California	1465	26	0
Madera-California	10	0	0
Marin-California	65	0	0
Mariposa-California	0	0	0
Mendocino-California	2	0	0
Merced-California	4	0	0
Modoc-California	0	0	0
Mono-California	6	0	0
Monterey-California	24	1	0
Napa-California	6	0	0
Nevada-California	8	0	0
Orange-California	321	3	0
Placer-California	30	1	0
Plumas-California	0	0	0
Riverside-California	149	8	0
Sacramento-California	164	6	0
San Benito-California	13	1	0
San Bernardino-California	54	3	0
San Diego-California	341	3	0
San Francisco-California	279	3	0
San Joaquin-California	90	3	0
San Luis Obispo-California	59	0	0
San Mateo-California	239	6	0
Santa Barbara-California	32	0	0
Santa Clara-California	574	20	0
Santa Cruz-California	32	0	0
Shasta-California	3	1	0
Sierra-California	0	0	0
Siskiyou-California	3	0	0
Solano-California	34	0	0
Sonoma-California	44	1	0
Stanislaus-California	17	0	0
Sutter-California	2	0	0
Tehama-California	0	0	0
Trinity-California	0	0	0
Tulare-California	20	0	0
Tuolumne-California	0	0	0
Ventura-California	61	1	0
Yolo-California	13	1	0
Yuba-California	3	0	0
Adams-Colorado	50	0	0
Alamosa-Colorado	0	0	0
Arapahoe-Colorado	119	0	0
Archuleta-Colorado	0	0	0
Baca-Colorado	1	0	0
Bent-Colorado	0	0	0
Boulder-Colorado	66	0	0
Chaffee-Colorado	5	0	0
Cheyenne-Colorado	0	0	0
Clear Creek-Colorado	3	0	0
Conejos-Colorado	0	0	0
Costilla-Colorado	0	0	0
Crowley-Colorado	1	1	0
Custer-Colorado	0	0	0
Delta-Colorado	1	0	0
Denver-Colorado	262	3	0
Dolores-Colorado	0	0	0
Douglas-Colorado	67	0	0
Eagle-Colorado	147	1	0
Elbert-Colorado	3	0	0
El Paso-Colorado	137	5	0
Fremont-Colorado	1	0	0
Garfield-Colorado	16	0	0
Gilpin-Colorado	0	0	0
Grand-Colorado	2	0	0
Gunnison-Colorado	57	1	0
Hinsdale-Colorado	1	0	0
Huerfano-Colorado	1	0	0
Jackson-Colorado	0	0	0
Jefferson-Colorado	131	2	0
Kiowa-Colorado	0	0	0
Kit Carson-Colorado	1	0	0
Lake-Colorado	0	0	0
La Plata-Colorado	5	0	0
Larimer-Colorado	61	1	0
Las Animas-Colorado	0	0	0
Lincoln-Colorado	0	0	0
Logan-Colorado	2	0	0
Mesa-Colorado	6	0	0
Mineral-Colorado	0	0	0
Moffat-Colorado	0	0	0
Montezuma-Colorado	0	0	0
Montrose-Colorado	4	0	0
Morgan-Colorado	3	0	0
Otero-Colorado	1	0	0
Ouray-Colorado	0	0	0
Park-Colorado	1	0	0
Phillips-Colorado	0	0	0
Pitkin-Colorado	23	0	0
Prowers-Colorado	0	0	0
Pueblo-Colorado	3	0	0
Rio Blanco-Colorado	0	0	0
Rio Grande-Colorado	2	0	0
Routt-Colorado	9	0	0
Saguache-Colorado	0	0	0
San Juan-Colorado	0	0	0
San Miguel-Colorado	1	0	0
Sedgwick-Colorado	0	0	0
Summit-Colorado	11	0	0
Teller-Colorado	7	1	0
Washington-Colorado	1	0	0
