date	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-03-28	531-NA-NA	69-NA-NA	508-NA-NA	349-NA-NA	0-NA-NA	3777-NA-NA	1430-NA-NA	1012-NA-NA	143-NA-NA	0-NA-NA	2352-NA-NA	1714-NA-NA	47-NA-NA	86-NA-NA	189-NA-NA	2538-NA-NA	645-NA-NA	179-NA-NA	168-NA-NA	248-NA-NA	2305-NA-NA	155-NA-NA	774-NA-NA	2417-NA-NA	2856-NA-NA	399-NA-NA	579-NA-NA	502-NA-NA	90-NA-NA	73-NA-NA	535-NA-NA	158-NA-NA	6876-NA-NA	136-NA-NA	38977-NA-NA	764-NA-NA	58-NA-NA	0-NA-NA	867-NA-NA	248-NA-NA	316-NA-NA	1688-NA-NA	64-NA-NA	188-NA-NA	456-NA-NA	46-NA-NA	957-NA-NA	1396-NA-NA	0-NA-NA	402-NA-NA	156-NA-NA	604-NA-NA	3207-NA-NA	76-NA-NA	707-NA-NA	55-NA-NA
2020-03-28	531-NA-NA	69-NA-NA	508-NA-NA	349-NA-NA	0-NA-NA	3777-NA-NA	1430-NA-NA	1012-NA-NA	143-NA-NA	0-NA-NA	2352-NA-NA	1714-NA-NA	47-NA-NA	86-NA-NA	189-NA-NA	2538-NA-NA	645-NA-NA	179-NA-NA	168-NA-NA	248-NA-NA	2305-NA-NA	155-NA-NA	774-NA-NA	2417-NA-NA	2856-NA-NA	399-NA-NA	579-NA-NA	502-NA-NA	90-NA-NA	73-NA-NA	535-NA-NA	158-NA-NA	6876-NA-NA	136-NA-NA	38977-NA-NA	764-NA-NA	58-NA-NA	0-NA-NA	867-NA-NA	248-NA-NA	316-NA-NA	1688-NA-NA	64-NA-NA	188-NA-NA	456-NA-NA	46-NA-NA	957-NA-NA	1396-NA-NA	0-NA-NA	402-NA-NA	156-NA-NA	604-NA-NA	3207-NA-NA	76-NA-NA	707-NA-NA	55-NA-NA
2020-03-28	531-NA-NA	69-NA-NA	508-NA-NA	349-NA-NA	0-NA-NA	3777-NA-NA	1430-NA-NA	1012-NA-NA	143-NA-NA	0-NA-NA	2352-NA-NA	1714-NA-NA	47-NA-NA	86-NA-NA	189-NA-NA	2538-NA-NA	645-NA-NA	179-NA-NA	168-NA-NA	248-NA-NA	2305-NA-NA	155-NA-NA	774-NA-NA	2417-NA-NA	2856-NA-NA	399-NA-NA	579-NA-NA	502-NA-NA	90-NA-NA	73-NA-NA	535-NA-NA	158-NA-NA	6876-NA-NA	136-NA-NA	38977-NA-NA	764-NA-NA	58-NA-NA	0-NA-NA	867-NA-NA	248-NA-NA	316-NA-NA	1688-NA-NA	64-NA-NA	188-NA-NA	456-NA-NA	46-NA-NA	957-NA-NA	1396-NA-NA	0-NA-NA	402-NA-NA	156-NA-NA	604-NA-NA	3207-NA-NA	76-NA-NA	707-NA-NA	55-NA-NA
