date	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming	
2020-03-28	644-3-NA	85-2-NA	738-13-NA	388-3-NA	0-0-NA	3879-78-NA	1734-31-NA	1291-27-NA	165-2-NA	304-4-NA	3198-46-NA	2198-65-NA	55-0-NA	120-0-NA	230-4-NA	3060-34-NA	1232-31-NA	235-3-NA	202-4-NA	302-8-NA	2746-119-NA	168-1-NA	992-5-NA	3240-35-NA	3657-92-NA	398-4-NA	579-8-NA	712-9-NA	129-1-NA	89-2-NA	621-10-NA	187-2-NA	8825-108-NA	191-1-NA	44635-519-NA	763-3-NA	68-1-NA	2-0-NA	1137-19-NA	322-8-NA	414-12-NA	2218-22-NA	100-3-NA	203-NA-NA	539-13-NA	58-1-NA	1203-6-NA	1731-23-NA	19-0-NA	480-2-NA	184-10-NA	739-17-NA	3723-175-NA	96-0-NA	842-13-NA	73-0-NA
2020-03-28	696-3-NA	85-2-NA	873-15-NA	404-5-NA	0-0-NA	4643-101-NA	1734-31-NA	1291-27-NA	214-3-NA	304-4-NA	3763-54-NA	2366-69-NA	55-0-NA	120-0-NA	230-4-NA	3491-47-NA	1232-31-NA	298-3-NA	261-5-NA	302-8-NA	3315-137-NA	211-1-NA	992-5-NA	4257-44-NA	3657-92-NA	441-5-NA	663-13-NA	838-10-NA	129-1-NA	96-2-NA	621-10-NA	187-2-NA	11124-140-NA	191-1-NA	52318-728-NA	935-4-NA	83-1-NA	2-0-NA	1406-25-NA	377-15-NA	479-13-NA	2751-34-NA	100-3-NA	203-NA-NA	539-13-NA	68-1-NA	1373-6-NA	2052-27-NA	22-0-NA	602-2-NA	211-12-NA	739-17-NA	3723-175-NA	96-0-NA	989-13-NA	82-0-NA
2020-03-28	696-3-NA	85-2-NA	873-15-NA	404-5-NA	0-0-NA	4643-101-NA	1734-31-NA	1291-27-NA	214-3-NA	304-4-NA	3763-54-NA	2366-69-NA	55-0-NA	120-0-NA	230-4-NA	3491-47-NA	1232-31-NA	298-3-NA	261-5-NA	302-8-NA	3315-137-NA	211-1-NA	992-5-NA	4257-44-NA	3657-92-NA	441-5-NA	663-13-NA	838-10-NA	129-1-NA	96-2-NA	621-10-NA	187-2-NA	11124-140-NA	191-1-NA	52318-728-NA	935-4-NA	83-1-NA	2-0-NA	1406-25-NA	377-15-NA	479-13-NA	2751-34-NA	100-3-NA	203-NA-NA	539-13-NA	68-1-NA	1373-6-NA	2052-27-NA	22-0-NA	602-2-NA	211-12-NA	739-17-NA	3723-175-NA	96-0-NA	989-13-NA	82-0-NA
