date	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-03-28	587-4-0	58-1-0	665-13-0	381-3-0	0-0-0	4657-94-0	1433-27-0	1291-27-0	163-2-0	271-3-0	2900-35-0	2000-64-0	51-1-0	106-0-0	205-3-0	3024-34-0	979-25-0	235-3-0	206-4-0	301-7-0	2744-119-0	168-1-0	775-5-0	3240-35-0	3634-92-0	396-4-0	579-8-0	666-9-0	109-1-0	82-0-0	536-10-0	158-1-0	8825-108-0	136-1-0	44876-527-0	887-4-0	68-1-0	0-0-0	1137-19-0	322-8-0	416-12-0	2345-22-0	79-3-0	203-0-0	542-13-0	58-1-0	1318-6-0	1937-26-0	0-0-0	472-1-0	184-10-0	607-10-0	3477-157-0	76-0-0	926-14-0	70-0-0
2020-03-28	587-4-0	58-1-0	665-13-0	381-3-0	0-0-0	4657-94-0	1433-27-0	1291-27-0	163-2-0	271-3-0	2900-35-0	2000-64-0	51-1-0	106-0-0	205-3-0	3024-34-0	979-25-0	235-3-0	206-4-0	301-7-0	2744-119-0	168-1-0	775-5-0	3240-35-0	3634-92-0	396-4-0	579-8-0	666-9-0	109-1-0	82-0-0	536-10-0	158-1-0	8825-108-0	136-1-0	44876-527-0	887-4-0	68-1-0	0-0-0	1137-19-0	322-8-0	416-12-0	2345-22-0	79-3-0	203-0-0	542-13-0	58-1-0	1318-6-0	1937-26-0	0-0-0	472-1-0	184-10-0	607-10-0	3477-157-0	76-0-0	926-14-0	70-0-0
2020-03-28	587-4-0	58-1-0	665-13-0	381-3-0	0-0-0	4657-94-0	1433-27-0	1291-27-0	163-2-0	271-3-0	2900-35-0	2000-64-0	51-1-0	106-0-0	205-3-0	3024-34-0	979-25-0	235-3-0	206-4-0	301-7-0	2744-119-0	168-1-0	775-5-0	3240-35-0	3634-92-0	396-4-0	579-8-0	666-9-0	109-1-0	82-0-0	536-10-0	158-1-0	8825-108-0	136-1-0	44876-527-0	887-4-0	68-1-0	0-0-0	1137-19-0	322-8-0	416-12-0	2345-22-0	79-3-0	203-0-0	542-13-0	58-1-0	1318-6-0	1937-26-0	0-0-0	472-1-0	184-10-0	607-10-0	3477-157-0	76-0-0	926-14-0	70-0-0
