date	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-03-28	644-3-NA	85-2-NA	773-15-NA	388-3-NA	0-0-NA	3,801-78-NA	1,734-31-NA	1,291-27-NA	165-2-NA	304-4-NA	3,600-53-NA	2,366-69-NA	51-1-NA	120-0-NA	230-4-NA	3,026-34-NA	981-24-NA	298-3-NA	202-4-NA	302-7-NA	3,315-127-NA	211-1-NA	992-5-NA	3,240-35-NA	3,657-92-NA	398-4-NA	663-13-NA	670-9-NA	121-1-NA	89-2-NA	621-10-NA	187-2-NA	8,825-108-NA	191-1-NA	52,318-728-NA	934-4-NA	68-1-NA	2-0-NA	1,406-25-NA	377-15-NA	414-12-NA	2,751-34-NA	100-3-NA	203-0-NA	539-13-NA	58-1-NA	1,203-6-NA	1,731-23-NA	19-0-NA	480-2-NA	184-10-NA	739-17-NA	3,723-175-NA	96-0-NA	842-13-NA	73-0-NA
2020-03-28	696-3-NA	85-2-NA	773-15-NA	388-3-NA	0-0-NA	3,801-78-NA	1,734-31-NA	1,291-27-NA	165-2-NA	304-4-NA	3,600-53-NA	2,366-69-NA	51-1-NA	120-0-NA	230-4-NA	3,491-47-NA	981-24-NA	298-3-NA	202-4-NA	302-7-NA	3,315-137-NA	211-1-NA	992-5-NA	4,257-44-NA	3,657-92-NA	398-4-NA	663-13-NA	670-9-NA	121-1-NA	89-2-NA	621-10-NA	187-2-NA	8,825-108-NA	191-1-NA	52,318-728-NA	934-4-NA	68-1-NA	2-0-NA	1,406-25-NA	377-15-NA	414-12-NA	2,751-34-NA	100-3-NA	230-2-NA	660-15-NA	58-1-NA	1,373-6-NA	1,731-23-NA	19-0-NA	480-2-NA	211-12-NA	739-17-NA	3,723-175-NA	96-0-NA	842-13-NA	73-0-NA
2020-03-28	696-3-NA	85-2-NA	773-15-NA	388-3-NA	0-0-NA	3,801-78-NA	1,734-31-NA	1,291-27-NA	165-2-NA	304-4-NA	3,600-53-NA	2,366-69-NA	51-1-NA	120-0-NA	230-4-NA	3,491-47-NA	981-24-NA	298-3-NA	202-4-NA	302-7-NA	3,315-137-NA	211-1-NA	992-5-NA	4,257-44-NA	3,657-92-NA	398-4-NA	663-13-NA	670-9-NA	121-1-NA	89-2-NA	621-10-NA	187-2-NA	8,825-108-NA	191-1-NA	52,318-728-NA	934-4-NA	68-1-NA	2-0-NA	1,406-25-NA	377-15-NA	414-12-NA	2,751-34-NA	100-3-NA	230-2-NA	660-15-NA	58-1-NA	1,373-6-NA	1,731-23-NA	19-0-NA	480-2-NA	211-12-NA	739-17-NA	3,723-175-NA	96-0-NA	842-13-NA	73-0-NA
